code,area_council,district_name
ASOKORO,AMAC,Asokoro
CENTRAL_BUSINESS_DISTRICT,AMAC,Central Business District
GARKI,AMAC,Garki
GUZAPE,AMAC,Guzape
MAITAMA,AMAC,Maitama
WUSE,AMAC,Wuse
APO_DUTSE,AMAC,Apo-Dutse
DAKIBIYU,AMAC,Dakibiyu
DUBOYI,AMAC,Duboyi
DURUMI,AMAC,Durumi
GADUWA,AMAC,Gaduwa
GUDU,AMAC,Gudu
JABI,AMAC,Jabi
JAHI,AMAC,Jahi
KADO,AMAC,Kado
KATAMPE,AMAC,Katampe
KARU,AMAC,Karu
KAURA,AMAC,Kaura
KARSHI,AMAC,Karshi
KUKWUABA,AMAC,Kukwuaba
MABUSHI,AMAC,Mabushi
UTAKO,AMAC,Utako
WUYE,AMAC,Wuye
GWAGWA,AMAC,Gwagwa
GALADIMAWA,AMAC,Galadimawa
GWARINPA,AMAC,Gwarinpa
INDUSTRIAL_AREA_I_&_EXTENSION,AMAC,Industrial Area I & Extension
KABUSA,AMAC,Kabusa
KARMO,AMAC,Karmo
KAFE,AMAC,Kafe
LIFE_CAMP,AMAC,Life Camp
LUGBE,AMAC,Lugbe
OROZO,AMAC,Orozo
NYANYA,AMAC,Nyanya
NBORA,AMAC,Nbora
DAKWO,AMAC,Dakwo
LOKOGOMA,AMAC,Lokogoma
IDU,AMAC,Idu
KARSANA,AMAC,Karsana
KYAMI,AMAC,Kyami
BWARI_CENTRAL,Bwari,Bwari Central
KUDURU,Bwari,Kuduru
IGU,Bwari,Igu
SHERE,Bwari,Shere
KAWU,Bwari,Kawu
USHAFA,Bwari,Ushafa
DUTSE_ALHAJI,Bwari,Dutse Alhaji
BYAZHIN,Bwari,Byazhin
KUBWA,Bwari,Kubwa
USUMA,Bwari,Usuma
GWAGWALADA_CENTRAL,Gwagwalada,Gwagwalada Central
KUTUNKU,Gwagwalada,Kutunku
QUARTERS,Gwagwalada,Quarters
IBWA,Gwagwalada,Ibwa
DOBI,Gwagwalada,Dobi
PAIKON_KORE,Gwagwalada,Paikon-Kore
TUNGAN_MAJE,Gwagwalada,Tungan Maje
ZUBA,Gwagwalada,Zuba
IKWA,Gwagwalada,Ikwa
GWAKO,Gwagwalada,Gwako
KUJE_CENTRAL,Kuje,Kuje Central
CHIBIRI,Kuje,Chibiri
GAUBE,Kuje,Gaube
KWAKU,Kuje,Kwaku
KABI,Kuje,Kabi
RUBOCHI,Kuje,Rubochi
GWARGWADA,Kuje,Gwargwada
GUDUN_KARYA,Kuje,Gudun Karya
KUJEKWA,Kuje,Kujekwa
YENCHE,Kuje,Yenche
ABAJI_CENTRAL,Abaji,Abaji Central
ABAJI_NORTH_EAST,Abaji,Abaji North East
ABAJI_SOUTH_EAST,Abaji,Abaji South East
AGYANA_PANDAGI,Abaji,Agyana/Pandagi
RIMBA_EBAGI,Abaji,Rimba Ebagi
NUKU,Abaji,Nuku
ALU_MAMAGI,Abaji,Alu Mamagi
YABA,Abaji,Yaba
GURDI,Abaji,Gurdi
GAWU,Abaji,Gawu
KWALI,Kwali,Kwali
YANGOJI,Kwali,Yangoji
PAI,Kwali,Pai
KILANKWA,Kwali,Kilankwa
DAFA,Kwali,Dafa
KUNDU,Kwali,Kundu
ASHARA,Kwali,Ashara
GUMBO,Kwali,Gumbo
WAKO,Kwali,Wako
YEBU,Kwali,Yebu
